,Unnamed: 0,year,month,day,level_3,Title,Date,Price,Price_Change,Direction,Rate_of_Change
116,116,2007,7,5,Title,BASF launches AgCelence brand in Brazil: Rwandan coffee production set to drop by a third next year FO Licht forecasts decline in global coffee output next season Cameroon revises cocoa output upwards for 2006/07 season ,7/5/07,1.0543,-0.005900000000000016,0,-0.005564987738162626
117,117,2007,7,6,Title,Indian coffee exports decline due to strength of local currency Vietnam to host 'coffee cultural week' to improve international image Brazilian income from coffee exports up nearly a third in 2006/07 ,7/6/07,1.0512,-0.0031000000000001027,0,-0.002940339561794653
118,118,2007,7,8,Title,Burundi coffee praise Nybot trading volumes smash previous record Surprise USDA figure fuels hike in soya price Weather Cameroon reviews size of its cocoa crop FO Licht adds to forecasts for lower coffee crop Vietnam wants to keep up coffee export drive Farmers' neglect of coffee crop hurts Rwanda ,7/8/07,1.0512,-0.0,0,0.0
119,119,2007,7,9,Title,"Kenyan coffee board agree to pay back debts to farmers Tanzania to boost coffee production by the end of the decade China coffee consumption will soar, Italian roaster says ",7/9/07,1.0403,-0.01089999999999991,0,-0.010369101978690934
120,120,2007,7,10,Title,Kenya to export majority of coffee output to China under trade agreement ,7/10/07,1.037,-0.0033000000000000806,0,-0.0031721618763818904
121,121,2007,7,11,Title,"Milk product prices, July 11 Tanzanian cashews now duty-free into Switzerland Uganda temporarily closes coffee processing plants ",7/11/07,1.0451,0.008099999999999996,0,0.007810993249758917
122,122,2007,7,12,Title,Fairtrade orange juice appears in Lidl El Salvador coffee exports down 15% in June McDonald's to open budget coffee shops in Japan Ugandan coffee output expected to rise 14% this year ,7/12/07,1.0546,0.009500000000000064,0,0.00909003923069569
123,123,2007,7,15,Title,Salvadoran coffee fall UCDA closes plants Chinese coffee high McDonald's coffee plan Strong rupee harms Indian coffee exports Africa must take advantage of interest in its coffee High prices encourage Tanzania to raise output Kenya intends to make China its top market Weather concerns fuel further climb in soya Trading briefs ,7/15/07,1.0546,-0.0,0,0.0
124,124,2007,7,16,Title,Bank distributes large sums to Zimbabwean coffee growers Tata Coffee struggles with appreciation of Indian rupee Commodity trading on Liffe hits new heights in June Tata to open 100 coffee shops in India in next five years ,7/16/07,1.0417,-0.012899999999999912,0,-0.012232125924521062
125,125,2007,7,17,Title,India plans multi-million effort to boost coffee consumption Stable prices help Uganda increase coffee exports in June ,7/17/07,1.0512,0.009499999999999842,0,0.00911970816933843
126,126,2007,7,18,Title,"Milk product prices, July 18 Vietnam coffee revenues surge due to high US demand ",7/18/07,1.0618,0.010600000000000165,0,0.010083713850837296
127,127,2007,7,20,Title,Starbucks plans new format and locations for UK coffee shops ,7/20/07,1.0787,0.016899999999999915,0,0.015916368430966204
128,128,2007,7,22,Title,Report helps sugar price to three-month high US coffee deliveries Weather People and places Vietnam coffee surge Sales of ethical coffee rocket India finds cash for marketing Uganda enters period of strong coffee exports ,7/22/07,1.0787,-0.0,0,0.0
129,129,2007,7,24,Title,Starbucks increases prices to combat rising dairy costs Starbucks to raise prices at US stores ,7/24/07,1.0678,-0.01089999999999991,0,-0.01010475572448309
130,130,2007,7,25,Title,"Starbucks increases prices to combat rising dairy costs Milk product prices, July 25 Vietnam expects higher coffee sales this year ",7/25/07,1.0815,0.013699999999999823,0,0.012830117999625232
131,131,2007,7,26,Title,"Swiss tariffs scrapped Vietnam's July coffee exports fall in volume, surge in value ",7/26/07,1.0903,0.008800000000000141,0,0.00813684697179856
132,132,2007,7,27,Title,Indonesia drops relief aid to thousands stranded on Sulawesi island ,7/27/07,1.0734,-0.016900000000000137,0,-0.015500321012565474
133,133,2007,7,29,Title,Ivorian rubber switch Asian coffee decline Brazilian coffee sales Vietnam coffee dip Getting a coffee buzz Starbucks price hike Marketing agents dog Kenyan coffee sales Better US weather causes plunge in soya price Vietnam eyes record coffee sales High cost of robusta damages India's exports ,7/29/07,1.0734,-0.0,0,0.0
134,134,2007,8,1,Title,"Milk product prices, August 1 Ugandan coffee export volumes continue to rise in June Brazilian coffee consumption leaps in first seven months of year ",8/1/07,1.0829,0.009500000000000064,0,0.008850381963853238
135,135,2007,8,2,Title,Sumatran arabica exports to stabilise says coffee industry official ,8/2/07,1.0773,-0.005600000000000049,0,-0.005171299288946394
136,136,2007,8,3,Title,Honduran coffee exports on the rise says national coffee board Indian coffee exports decline due to high prices on global market ,8/3/07,1.0954,0.018100000000000005,0,0.01680126241529751
137,137,2007,8,5,Title,Funcafe coffee auction Weather worries push canola price to peak weather Indonesian coffee fall Brazil may end up losing share of coffee sales Sustained peace allows Sumatran exports to rise ,8/5/07,1.0954,-0.0,0,0.0
138,138,2007,8,6,Title,Volume of Vietnam's coffee exports up to July more than double Brazil's coffee crop under threat from early flowering due to heavy rains ,8/6/07,1.1138,0.018399999999999972,0,0.016797516888807717
139,139,2007,8,7,Title,Brazil green coffee exports rise in July says Cecafe Honduran coffee exports will beat early forecasts says official ,8/7/07,1.1184,0.0046000000000001595,0,0.004130005386963692
140,140,2007,8,8,Title,"Rising raw milk prices sour Dean's Q2 profits Hansen Natural Corp announces second quarter results Milk product prices, August 8 Rising raw milk prices sour Dean's Q2 profits ICO reports says coffee consumption and exports on the rise Vietnam province's coffee to be branded to increase sales ",8/8/07,1.1155,-0.0029000000000001247,0,-0.0025929899856939596
