STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/12/18,0,",,S",58,"H,,S",,,44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/13/18,0.03,",,S",56,"H,,S",69,",,S",49,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/14/18,0,",,S",56,"H,,S",68,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/15/18,0.03,",,S",57,"H,,S",,,50,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/16/18,0.02,",,S",56,"H,,S",66,",,S",47,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/17/18,0.71,",,S",54,"H,,S",,,,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/18/18,0.12,",,S",57,"H,,S",,,46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/19/18,0.24,",,S",56,"H,,S",73,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/20/18,0.04,",,S",54,"H,,S",68,",,S",44,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/21/18,0.83,",,S",50,"H,,S",67,",,S",40,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,2/22/18,0.16,",,S",53,"H,,S",66,",,S",41,",,S"
