,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
140,140,140,2007,8,8,Title,2007-08-08,1.1155,-0.002900000000000125,0,-0.00259298998569396,rising raw milk prices sour dean profits hansen natural corp announces second quarter results milk product prices august rising raw milk prices sour dean profits ico reports says coffee consumption exports rise vietnam province coffee be branded increase sales
141,141,141,2007,8,9,Title,2007-08-09,1.1197,0.0041999999999999815,0,0.0037651277454056322,energy drinks sales help lift hansen indian exports coffee expected drop year peru coffee exports drop sharply production falls
142,142,142,2007,8,10,Title,2007-08-10,1.1297,0.010000000000000007,0,0.008930963650977949,india tata tea expand russia us organic soft drinks firm wins mcdonalds contract starbucks enters into credit agreement
143,143,143,2007,8,12,Title,2007-08-12,1.1297,-0.0,0,0.0,kenya looks into coffee price fixing peru sees coffee slip sugar interest helps nybot trading climb heavy selling keeps sugar doldrums vietnam coffee storm firey volcano erupts ico highlights soaring coffee exports brazil crop likely be low end forecasts vietnam will begin checking coffee october
144,144,144,2007,8,13,Title,2007-08-13,1.134,0.0043000000000001926,0,0.003806320262016635,starbucks open first stores colombia
145,145,145,2007,8,14,Title,2007-08-14,1.1523,0.018299999999999983,0,0.016137566137566117,vietnam coffee plantations escape floods but yields still expected fall
146,146,146,2007,8,16,Title,2007-08-16,1.1413,-0.01100000000000012,0,-0.009546125141022406,energy drinks boost hansen results organic drinks deal ethiopia produce coffee naturally low caffeine levels
147,147,147,2007,8,17,Title,2007-08-17,1.0963,-0.04499999999999993,0,-0.039428721633225215,vietnam coffee farmers expand beyond targets say officials nicaraguan coffee exports rise july but down coffee year
148,148,148,2007,8,19,Title,2007-08-19,1.0963,-0.0,0,0.0,low caffeine bean nestle unharmed high commodity costs vietnam coffee drive strong buying keeps fire under coffee values weather indian coffee efforts mexican coffee rise eu buyers spurn brazil costly coffee depleted soil dents vietnam coffee potential ucda under fire over use unapproved bean exporters must face up daily grind
149,149,149,2007,8,20,Title,2007-08-20,1.1095,0.013199999999999878,0,0.012040499863176029,honduran coffee exports higher than expected season
150,150,150,2007,8,21,Title,2007-08-21,1.1113,0.0018000000000000238,0,0.0016223524109959654,brazil exports more cashews middle east hurricane dean delays coffee harvesting jamaica
151,151,151,2007,8,22,Title,2007-08-22,1.1148,0.0035000000000000586,0,0.00314946459101958,cashew exports rising milk product prices august
